"filename", "language", "PostCSS", "HTML", "XML", "Markdown", "JavaScript", "comment", "blank", "total"
"d:\editing stuff\vss\connorleatherdale.github.io\pages\Blogs\Meteorology\test\worker.js", "JavaScript", 0, 0, 0, 0, -7, -2, -3, -12
"d:\editing stuff\vss\connorleatherdale.github.io\pages\Blogs\Meteorology\under-rated_tors\2010's\placeholder.html", "HTML", 0, 0, 0, 0, 0, 0, -1, -1
"d:\editing stuff\vss\connorleatherdale.github.io\pages\Blogs\Meteorology\under-rated_tors\2020's\mayfield.html", "HTML", 0, -110, 0, 0, 0, 0, -12, -122
"d:\editing stuff\vss\connorleatherdale.github.io\pages\Blogs\Meteorology\under-rated_tors\example.html", "HTML", 0, -53, 0, 0, 0, 0, -9, -62
"d:\editing stuff\vss\connorleatherdale.github.io\pages\Blogs\Meteorology\under-rated_tors\landing.html", "HTML", 0, -60, 0, 0, 0, -3, -5, -68
"d:\editing stuff\vss\connorleatherdale.github.io\pages\Blogs\Meteorology\under-rated_tors\notEF5.html", "HTML", 0, -61, 0, 0, 0, 0, -8, -69
"d:\editing stuff\vss\connorleatherdale.github.io\pages\Blogs\Photography\2022.html", "HTML", 0, -47, 0, 0, 0, 0, -9, -56
"d:\editing stuff\vss\connorleatherdale.github.io\pages\Blogs\Photography\Aurora's.html", "HTML", 0, -50, 0, 0, 0, 0, -8, -58
"d:\editing stuff\vss\connorleatherdale.github.io\pages\Meteorology.html", "HTML", 0, -57, 0, 0, 0, -1, -8, -66
"d:\editing stuff\vss\connorleatherdale.github.io\pages\Photography.html", "HTML", 0, -63, 0, 0, 0, -4, -12, -79
"d:\editing stuff\vss\connorleatherdale.github.io\sitemap.xml", "XML", 0, 0, -69, 0, 0, 0, -2, -71
"d:\editing stuff\vss\connorleatherdale.github.io\style.css", "PostCSS", -445, 0, 0, 0, 0, -33, -108, -586
"Total", "-", 13, 83, 6, 0, 64, 43, 48, 257
